Currency Code,Currency units per Â£1,Month/Year
USD,1.2651,January 2024
USD,1.269,February 2024
USD,1.2614,March 2024
USD,1.2693,April 2024
USD,1.2457,May 2024
USD,1.2709,June 2024
USD,1.2732,July 2024
USD,1.3032,September 2024
USD,1.3211,October 2024
USD,1.2952,November 2024
USD,1.2662,December 2024
USD,1.3033,August 2024
USD,1.2406,January 2023
USD,1.2392,February 2023
USD,1.2002,March 2023
USD,1.2231,April 2023
USD,1.2366,June 2023
USD,1.2732,July 2023
USD,1.2886,August 2023
USD,1.2631,September 2023
USD,1.2367,October 2023
USD,1.2188,November 2023
USD,1.2536,December 2023
USD,1.3215,January 2022
USD,1.3629,February 2022
USD,1.3579,March 2022
USD,1.3212,April 2022
USD,1.3048,May 2022
USD,1.2471,June 2022
USD,1.2309,July 2022
USD,1.1996,August 2022
USD,1.1821,September 2022
USD,1.1331,October 2022
USD,1.1259,November 2022
USD,1.2065,December 2022
USD,1.3497,January 2021
USD,1.3632,February 2021
USD,1.4051,March 2021
USD,1.3721,April 2021
USD,1.393,May 2021
USD,1.4146,June 2021
USD,1.3674,August 2021
USD,1.3757,September 2021
USD,1.3646,October 2021
USD,1.3815,November 2021
USD,1.3465,December 2021
USD,1.3071,January 2020
USD,1.314,February 2020
USD,1.2952,March 2020
USD,1.1763,April 2020
USD,1.2327,May 2020
USD,1.227,June 2020
USD,1.254,July 2020
USD,1.2732,August 2020
USD,1.3184,September 2020
USD,1.2763,October 2020
USD,1.3163,November 2020
USD,1.3303,December 2020
USD,1.2912,December 2019
USD,1.2778,December 2018
USD,1.3284,December 2017
USD,1.5003,January 2016
USD,1.2399,December 2016
